date,url,source,country,iso_alpha,total,Total Métropole,Total Outre Mer,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Ile-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d’Azur,Guadeloupe,Guyane,Martinique,Mayotte,La Réunion,Saint-Barthélémy,Saint-Martin,tot_metrop_calc,tot_outre_calc,check_metrop,check_outre,check_tot,flag_ok
2020-02-28,https://web.archive.org/web/20200229212809/https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/articles/covid-19-situation-epidemiologique-en-france,santepubliquefrance.fr,France,FRA,38.0,38,0.0,11,4,1,0,0,0,9,9,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,
2020-03-02,https://web.archive.org/web/20200303124836/https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/articles/covid-19-situation-epidemiologique-en-france,santepubliquefrance.fr,France,FRA,178.0,175,3.0,37,8,13,0,0,0,45,34,2,4,6,5,0,3,0,0,0,0,0,0,,,,,,
2020-03-04,,santepubliquefrance.fr,France,FRA,285.0,282,3.0,49,16,23,0,0,38,65,55,2,5,9,7,13,3,0,0,0,0,0,0,282.0,3.0,True,True,True,True
2020-03-05,,santepubliquefrance.fr,France,FRA,423.0,415,8.0,64,39,29,2,3,77,74,76,6,8,11,8,18,0,5,0,0,0,3,0,415.0,8.0,True,True,True,True
2020-03-06,,santepubliquefrance.fr,France,FRA,613.0,603,10.0,75,78,32,11,3,136,97,89,11,11,18,16,26,0,5,2,0,0,1,2,603.0,10.0,True,True,True,True
2020-03-07,,santepubliquefrance.fr,France,FRA,949.0,939,10.0,102,129,40,16,5,250,173,104,11,17,36,18,38,0,5,2,0,0,1,2,939.0,10.0,True,True,True,True
2020-03-10,,santepubliquefrance.fr,France,FRA,2039.0,2030,9.0,249,123,83,19,42,489,249,468,40,57,70,31,110,0,5,3,0,0,1,0,2030.0,9.0,True,True,True,True
2020-03-11,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/articles/infection-au-nouveau-coronavirus-sars-cov-2-covid-19-france-et-monde,santepubliquefrance.fr,France,FRA,2281.0,2269,12.0,264,155,94,20,51,578,263,492,54,66,87,34,111,0,5,3,0,1,1,2,,,,,,
2020-03-12,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/articles/infection-au-nouveau-coronavirus-sars-cov-2-covid-19-france-et-monde,santepubliquefrance.fr,France,FRA,2876.0,2860,16.0,329,219,117,30,64,699,349,577,68,87,133,41,147,0,6,4,0,3,1,2,,,,,,
2020-03-13,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/articles/infection-au-nouveau-coronavirus-sars-cov-2-covid-19-france-et-monde,santepubliquefrance.fr,France,FRA,3661.0,3640,21.0,416,272,155,33,85,911,397,721,97,114,172,55,212,1,6,6,0,5,1,2,,,,,,
2020-03-14,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-coronavirus/articles/infection-au-nouveau-coronavirus-sars-cov-2-covid-19-france-et-monde,santepubliquefrance.fr,France,FRA,4499.0,4469,30.0,454,339,182,54,106,1085,466,949,127,130,214,82,281,3,7,10,1,6,1,2,,,,,,
