area,lat,lon
Auvergne-Rhône-Alpes,45.2968119,4.6604809000000005
Bourgogne-Franche-Comté,47.0510946,5.0740568
Bretagne,48.2640845,-2.9202408
Centre-Val de Loire,47.5490251,1.7324061999999998
Corse,42.18808965,9.068413771427696
Grand Est,48.4845157,6.113035
Hauts-de-France,50.1024606,2.7247515
Ile-de-France,48.6443057,2.7537863
Normandie,49.0677708,0.3138532
Nouvelle-Aquitaine,45.4039367,0.3756199
Occitanie,43.64878510000001,2.3435684
Pays de la Loire,47.6594864,-0.8186143
Provence-Alpes-Côte d’Azur,44.0580563,6.0638505999999985
Guadeloupe,16.2490067,-61.56504440000001
Guyane,4.8417097,-58.64168910000001
Martinique,14.6113732,-60.9620777
Mayotte,-12.823048,45.1520755
La Réunion,-21.1309332,55.5265771
Saint-Barthélémy,17.9036287,-62.811568843006896
Saint-Martin,18.06481835,-63.04917112903301
EHPAD,46.0,-3.5
