date,total,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju,url
2020-02-08,24.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366114&tag=&nPage=52
2020-02-09,25.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366126&tag=&nPage=52
2020-02-10,27.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366138&tag=&nPage=52
2020-02-11,28.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366157&tag=&nPage=51
2020-02-12,28.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366162&tag=&nPage=51
2020-02-13,28.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366175&tag=&nPage=51
2020-02-14,28.0,,,,,,,,,,,,,,,,,,
2020-02-15,28.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366201&tag=&nPage=51
2020-02-16,29.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366205&tag=&nPage=51
2020-02-17,30.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366221&tag=&nPage=50
2020-02-18,40.0,,,,,,,,,,,,,,,,,,
2020-02-19,51.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366249&tag=&nPage=50
2020-02-20,104.0,,,,,,,,,,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366264&tag=&nPage=49
2020-02-21,204.0,36.0,,515.0,,,,,,32.0,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366289&tag=&nPage=49
2020-02-22,433.0,40.0,35.0,560.0,,,,,,33.0,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366301&tag=&nPage=49
2020-02-23,602.0,43.0,37.0,615.0,,,,,,37.0,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366308&tag=&nPage=49
2020-02-24,833.0,44.0,43.0,708.0,,,,,,39.0,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366329&tag=&nPage=48
2020-02-25,977.0,47.0,45.0,839.0,,,,,,49.0,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366340&tag=&nPage=48
2020-02-26,1261.0,51.0,50.0,883.0,2.0,,,,,54.0,,,,,,,,,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366352&tag=&nPage=48
2020-02-27,1766.0,55.0,58.0,1017.0,3.0,9.0,8.0,6.0,1.0,55.0,6.0,7.0,7.0,,,321.0,36.0,2.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366366&tag=&nPage=47
2020-02-28,2337.0,62.0,63.0,1314.0,4.0,9.0,13.0,11.0,1.0,66.0,6.0,9.0,16.0,,,394.0,46.0,2.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366399&tag=&nPage=47
2020-02-29,3150.0,74.0,77.0,2055.0,6.0,9.0,14.0,17.0,1.0,76.0,7.0,10.0,48.0,5.0,2.0,469.0,59.0,2.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366407&tag=&nPage=47
2020-03-01,3736.0,82.0,81.0,2569.0,6.0,9.0,13.0,17.0,1.0,84.0,7.0,11.0,60.0,,,514.0,62.0,2.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366414&tag=&nPage=46
2020-03-02,4212.0,91.0,88.0,3081.0,7.0,9.0,14.0,20.0,1.0,92.0,19.0,11.0,78.0,6.0,5.0,624.0,64.0,2.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366419&tag=&nPage=46
2020-03-03,4812.0,95.0,90.0,3543.0,8.0,11.0,14.0,21.0,1.0,96.0,20.0,11.0,80.0,6.0,5.0,699.0,64.0,2.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366424&tag=&nPage=46
2020-03-04,5328.0,99.0,93.0,4006.0,9.0,13.0,15.0,23.0,1.0,101.0,21.0,11.0,82.0,7.0,5.0,774.0,65.0,3.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366443&tag=&nPage=46
2020-03-05,5766.0,103.0,92.0,4327.0,9.0,14.0,16.0,23.0,1.0,110.0,23.0,12.0,86.0,7.0,4.0,861.0,74.0,4.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366456&tag=&nPage=46
2020-03-06,6284.0,105.0,95.0,4694.0,9.0,13.0,18.0,23.0,1.0,120.0,25.0,15.0,90.0,7.0,5.0,984.0,77.0,4.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366480&tag=&nPage=45
2020-03-07,6767.0,108.0,96.0,5084.0,9.0,13.0,18.0,23.0,2.0,130.0,26.0,20.0,92.0,7.0,4.0,1049.0,82.0,4.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366485&tag=&nPage=45
2020-03-08,7134.0,120.0,97.0,5381.0,9.0,13.0,18.0,24.0,3.0,141.0,27.0,24.0,98.0,7.0,4.0,1081.0,83.0,4.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366490&tag=&nPage=45
2020-03-09,7382.0,130.0,96.0,5571.0,9.0,15.0,19.0,24.0,6.0,152.0,28.0,25.0,102.0,7.0,4.0,1107.0,83.0,4.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366496&tag=&nPage=45
2020-03-10,7513.0,141.0,96.0,5663.0,13.0,15.0,18.0,24.0,8.0,163.0,28.0,25.0,104.0,7.0,4.0,1117.0,83.0,4.0,http://www.kdca.go.kr//board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366513&tag=&nPage=45
